model,f1-score_mean,f1-score_std,macro-f1_mean,macro-f1_std,avg_macrof1_mean,avg_macrof1_std,auc_mean,auc_std
TF-IDF,0.5950009964825199,0.2764185127807365,0.5715391084453795,0.15070275909963268,1.0,0.8660254037844387,0.5457188514437888,0.17066893727905882
TF-IDF_iter11,0.5703508786049356,0.20977599844419786,,,,,,
TF-IDF_iter10,0.5675767762078351,0.20097987730276903,,,,,,
TF-IDF_iter14,0.565330924743945,0.20658887782452268,,,,,,
TF-IDF_iter18,0.5546416985439734,0.1956737309119168,,,,,,
TF-IDF_iter19,0.5542258041880185,0.2098837357432469,,,,,,
TF-IDF_iter12,0.554073239161382,0.20131229501011677,,,,,,
TF-IDF_iter17,0.5504360742304143,0.21233733145011172,,,,,,
TF-IDF_iter13,0.5499448756757999,0.20144882984449636,,,,,,
TF-IDF_iter16,0.5494041436399453,0.21555239018956257,,,,,,
TF-IDF_iter15,0.5489800678198754,0.20947554881645908,,,,,,
Stacked stackingcv,0.5424875,0.23327398262195867,0.46773333333333333,0.3282146220009677,,,,
Stacked logisticregression,0.53865703125,0.3318785227169301,0.5287166666666666,0.2941500755635174,1.0,0.8320502943378437,0.46269999999999994,0.3925115412315922
Stacked candidate_scores_iter20,0.5236311111111112,0.061980406809594504,0.5078866666666667,0.06708742125696211,,,,
Stacked candidate_scores_iter8,0.49115111111111115,0.058594006140180885,0.5176022222222223,0.061029521503527244,,,,
Stacked candidate_scores_iter5,0.47868395061728397,0.09452221624675086,0.5162148148148148,0.06015723379426431,,,,
GRU_iter12,0.47050873079082683,0.24563118647596863,,,,,,
Stacked svm,0.46225000000000005,0.3431681716010388,,,,,0.43296296296296294,0.3316363661372639
GRU_iter15,0.4516505659771643,0.1671936518649696,,,,,,
BERT Transformer,0.4454777777777778,0.3173891565536215,0.39718888888888887,0.2372232428074968,1.0,0.8660254037844387,0.37745555555555554,0.24020247246391488
GRU_iter19,0.44469534504709385,0.29346218760508846,,,,,,
Stacked candidate_scores_iter4,0.44029,0.09829244835944612,0.4697011111111111,0.09895035810717452,,,,
LSTM,0.4350082224976855,0.3107893788686603,0.38442837705558724,0.19292605998405146,1.0,0.8660254037844387,0.3869121419500712,0.20385435066253926
LSTM_iter14,0.4322818421448815,0.25401284214415637,,,,,,
GRU,0.42034300099860844,0.2981678278988965,0.40346149213384214,0.20977264422014866,1.0,0.8660254037844387,0.3453235101798623,0.16884656684480592
BERT Transformer_iter14,0.4026,0.2655658298802766,,,,,,
BERT Transformer_iter19,0.40123333333333333,0.2586713036525956,,,,,,
GRU_iter17,0.39910950729668176,0.17108105609353574,,,,,,
BERT Transformer_iter16,0.3966,0.28926183640432074,,,,,,
BERT Transformer_iter12,0.3937333333333333,0.2554647594744397,,,,,,
LSTM_iter16,0.39352293420848494,0.2444569640077189,,,,,,
LSTM_iter13,0.3916112649087524,0.26731537426675234,,,,,,
GRU_iter18,0.38620938616813544,0.20766324693532723,,,,,,
LSTM_iter18,0.38273894704195377,0.24680301002079735,,,,,,
BERT Transformer_iter15,0.3820333333333334,0.2823663282569884,,,,,,
BERT Transformer_iter17,0.381,0.291510085588818,,,,,,
BERT Transformer_iter18,0.37986666666666663,0.28775297276193923,,,,,,
LSTM_iter10,0.37970736326566196,0.2324511400644241,,,,,,
BERT Transformer_iter10,0.37753333333333333,0.28072994733966905,,,,,,
BERT Transformer_iter13,0.3774333333333333,0.2885364852723713,,,,,,
LSTM_iter11,0.37551883653112506,0.24050075893574932,,,,,,
GRU_iter11,0.3679388387229825,0.2642553956126148,,,,,,
GRU_iter14,0.36578082381822735,0.32796510610807467,,,,,,
LSTM_iter19,0.36166077969694516,0.28061850755857676,,,,,,
BERT Transformer_iter11,0.36106666666666665,0.2674374007750849,,,,,,
LSTM_iter17,0.3609599300178272,0.2507155806695365,,,,,,
LSTM_iter15,0.3607737180788794,0.15937157865423934,,,,,,
LSTM_iter12,0.35410999871921844,0.26731358436657915,,,,,,
Transformer,0.27965440833125194,0.31803080250056753,0.2758533940370922,0.28345911153805575,1.0,0.8660254037844387,0.2563982886036562,0.3845974329054843
GRU_iter16,0.2658800095634195,0.05934260671708077,,,,,,
GRU_iter10,0.25509214317885015,0.11056282181977047,,,,,,
GRU_iter13,0.24879903451425442,0.04316729350050095,,,,,,
Transformer_iter19,0.23860925627873905,0.19711655351074636,,,,,,
Transformer_iter17,0.22922163976747725,0.21169407067969964,,,,,,
Transformer_iter11,0.22543650841358195,0.21026262308508845,,,,,,
Transformer_iter18,0.2062180989093065,0.17896128031670477,,,,,,
Transformer_iter15,0.20142672474722215,0.19672359635864825,,,,,,
Transformer_iter14,0.16829832928904134,0.15038013332065478,,,,,,
Transformer_iter12,0.16243252937468966,0.14352747625056345,,,,,,
Transformer_iter16,0.16167664244545893,0.14345923811731837,,,,,,
Transformer_iter10,0.1527335765277677,0.1348281924063855,,,,,,
Transformer_iter13,0.13809405440240807,0.11872256944740471,,,,,,
Stacked best_model_folds_iter1,,,0.538472972972973,0.025240234889202986,,,,
Stacked best_model_folds_iter10,,,0.55628,0.06106322406599028,,,,
Stacked best_model_folds_iter11,,,0.5637399999999999,0.023336719362160446,,,,
Stacked best_model_folds_iter12,,,0.5424,0.019014029907763724,,,,
Stacked best_model_folds_iter13,,,0.53644,0.01485030489773043,,,,
Stacked best_model_folds_iter14,,,0.5391,0.021451858246366966,,,,
Stacked best_model_folds_iter15,,,0.5211,0.017711428679876542,,,,
Stacked best_model_folds_iter16,,,0.5309200000000001,0.026833345755690702,0.53092,0.025981275308703887,,
Stacked best_model_folds_iter17,,,0.55492,0.026323491831864228,,,,
Stacked best_model_folds_iter18,,,0.54394,0.013076628855413065,,,,
Stacked best_model_folds_iter19,,,0.54168,0.023466136357644305,,,,
