iter,class,precision,recall,f1-score,fold,macro-f1,avg_macrof1,fold1,fold2,fold3,fold4,fold5,auc,subject_id,y_true,y_pred,feature_index,mean_|shap|,iter_num,model
iter1,0,0.6919,0.6001,0.6427,,,,,,,,,,,,,,,1.0,BERT Transformer
iter1,1,0.3523,0.5916,0.4416,,,,,,,,,,,,,,,1.0,BERT Transformer
iter1,2,0.225,0.033,0.0575,,,,,,,,,,,,,,,1.0,BERT Transformer
iter1,0,0.8277119416590701,0.6603636363636364,0.7346278317152104,,,,,,,,,,,,,,,1.0,TF-IDF
iter1,1,0.5252263906856404,0.6710743801652893,0.5892597968069666,,,,,,,,,,,,,,,1.0,TF-IDF
iter1,2,0.2718676122931442,0.3674121405750798,0.3125,,,,,,,,,,,,,,,1.0,TF-IDF
iter1,0,0.7451737451737451,0.1171116504854369,0.2024121657052962,,,,,,,,,,,,,,,1.0,GRU
iter1,1,0.3413566739606127,0.2209631728045325,0.2682717110920034,,,,,,,,,,,,,,,1.0,GRU
iter1,2,0.1223321186881832,0.8303886925795053,0.2132486388384755,,,,,,,,,,,,,,,1.0,GRU
iter1,,,,,Fold-1,0.5228,,,,,,,,,,,,,1.0,Stacked best_model_folds_iter1
iter1,,,,,Fold-2,0.5168,,,,,,,,,,,,,1.0,Stacked best_model_folds_iter1
iter1,,,,,Fold-3,0.5608,,,,,,,,,,,,,1.0,Stacked best_model_folds_iter1
iter1,,,,,Fold-4,0.519,,,,,,,,,,,,,1.0,Stacked best_model_folds_iter1
iter1,,,,,Fold-5,0.5774,,,,,,,,,,,,,1.0,Stacked best_model_folds_iter1
iter1,0,0.66,0.7008495145631068,0.6798116539140671,,,,,,,,,,,,,,,1.0,LSTM
iter1,1,0.3680555555555556,0.3002832861189802,0.3307332293291731,,,,,,,,,,,,,,,1.0,LSTM
iter1,2,0.1479099678456591,0.1625441696113074,0.1548821548821548,,,,,,,,,,,,,,,1.0,LSTM
iter1,0,0.7493,0.9161,0.8243,,,,,,,,,,,,,,,1.0,Stacked logisticregression
iter1,1,0.6602,0.5763,0.6154,,,,,,,,,,,,,,,1.0,Stacked logisticregression
iter1,2,0.5,0.0741,0.129,,,,,,,,,,,,,,,1.0,Stacked logisticregression
iter1,,,,,,,0.5394,0.5228,0.5168,0.5608,0.519,0.5774,,,,,,,1.0,Stacked candidate_scores_iter1
iter1,,,,,,,0.4845,0.518,0.4706,0.5045,0.4649,0.4645,,,,,,,1.0,Stacked candidate_scores_iter1
iter1,,,,,,,0.5052,0.4853,0.5125,0.5466,0.502,0.4795,,,,,,,1.0,Stacked candidate_scores_iter1
iter1,,,,,,,0.4989,0.5229,0.4815,0.4996,0.484,0.5065,,,,,,,1.0,Stacked candidate_scores_iter1
iter1,,,,,,,0.4971,0.5232,0.457,0.5193,0.4956,0.4905,,,,,,,1.0,Stacked candidate_scores_iter1
iter1,,,,,,,0.5198,0.5397,0.5072,0.5268,0.5337,0.4913,,,,,,,1.0,Stacked candidate_scores_iter1
iter1,,,,,,,0.5347,0.5272,0.5118,0.5522,0.5187,0.5635,,,,,,,1.0,Stacked candidate_scores_iter1
iter1,,,,,,,0.5072,0.5131,0.4943,0.5088,0.479,0.541,,,,,,,1.0,Stacked candidate_scores_iter1
iter1,,,,,,,0.5342,0.5226,0.5137,0.5726,0.5138,0.5481,,,,,,,1.0,Stacked candidate_scores_iter1
iter1,,,,,,,,,,,,,0.6436,,,,,,1.0,tabular
iter1,,,,,,,,,,,,,0.6634,,,,,,1.0,tabular
iter1,0,0.7021276595744681,0.1601941747572815,0.2608695652173913,,,,,,,,,,,,,,,1.0,Transformer
iter1,1,0.5294117647058824,0.0127478753541076,0.0248962655601659,,,,,,,,,,,,,,,1.0,Transformer
iter1,2,0.1198752228163992,0.950530035335689,0.2129006727344677,,,,,,,,,,,,,,,1.0,Transformer
iter1,0,0.7348,0.1462,0.2439,,,,,,,,,,,,,,,1.0,GRU
iter1,1,0.4039,0.1459,0.2144,,,,,,,,,,,,,,,1.0,GRU
iter1,2,0.1212,0.8799,0.2131,,,,,,,,,,,,,,,1.0,GRU
iter1,,,,,Fold-1,0.519,,,,,,,,,,,,,1.0,Stacked best_model_folds_iter1
iter1,,,,,Fold-2,0.5133,,,,,,,,,,,,,1.0,Stacked best_model_folds_iter1
iter1,,,,,Fold-3,0.5715,,,,,,,,,,,,,1.0,Stacked best_model_folds_iter1
iter1,,,,,Fold-4,0.5104,,,,,,,,,,,,,1.0,Stacked best_model_folds_iter1
iter1,,,,,Fold-5,0.5644,,,,,,,,,,,,,1.0,Stacked best_model_folds_iter1
iter1,0,0.7493,0.9161,0.8243,,,,,,,,,,,,,,,1.0,Stacked logisticregression
iter1,1,0.6569,0.5678,0.6091,,,,,,,,,,,,,,,1.0,Stacked logisticregression
iter1,2,0.4444,0.0741,0.127,,,,,,,,,,,,,,,1.0,Stacked logisticregression
iter1,,,,,,,0.5357,0.519,0.5133,0.5715,0.5104,0.5644,,,,,,,1.0,Stacked candidate_scores_iter1
iter1,,,,,,,0.4713,0.4881,0.4682,0.5165,0.4448,0.4388,,,,,,,1.0,Stacked candidate_scores_iter1
iter1,,,,,,,0.5061,0.5164,0.4745,0.5308,0.5379,0.4707,,,,,,,1.0,Stacked candidate_scores_iter1
iter1,,,,,,,0.5082,0.5211,0.4589,0.5314,0.5181,0.5116,,,,,,,1.0,Stacked candidate_scores_iter1
iter1,,,,,,,0.4922,0.5166,0.4593,0.5127,0.4964,0.476,,,,,,,1.0,Stacked candidate_scores_iter1
iter1,,,,,,,0.515,0.5382,0.5096,0.5082,0.5367,0.4822,,,,,,,1.0,Stacked candidate_scores_iter1
iter1,,,,,,,0.5293,0.5333,0.4993,0.552,0.5094,0.5526,,,,,,,1.0,Stacked candidate_scores_iter1
iter1,,,,,,,0.5181,0.4956,0.4998,0.5383,0.5031,0.5538,,,,,,,1.0,Stacked candidate_scores_iter1
iter1,,,,,,,0.5326,0.5269,0.5211,0.5703,0.4945,0.55,,,,,,,1.0,Stacked candidate_scores_iter1
iter1,,,,,Fold-1,0.519,,,,,,,,,,,,,1.0,Stacked best_model_folds_iter1
iter1,,,,,Fold-2,0.5133,,,,,,,,,,,,,1.0,Stacked best_model_folds_iter1
iter1,,,,,Fold-3,0.5715,,,,,,,,,,,,,1.0,Stacked best_model_folds_iter1
iter1,,,,,Fold-4,0.5104,,,,,,,,,,,,,1.0,Stacked best_model_folds_iter1
iter1,,,,,Fold-5,0.5644,,,,,,,,,,,,,1.0,Stacked best_model_folds_iter1
iter1,0,0.7493,0.9161,0.8243,,,,,,,,,,,,,,,1.0,Stacked logisticregression
iter1,1,0.6569,0.5678,0.6091,,,,,,,,,,,,,,,1.0,Stacked logisticregression
