tag,elapsed_hr,gpu_hrs,cpu_pct,disk_used_gb
tfidf_logreg_notes_iter1,0.000,0.000,4.5,29.6
tfidf_logreg_notes_iter1,0.000,0.000,5.4,29.6
tfidf_logreg_notes_iter1,0.000,0.000,12.2,29.6
tabular_rf_xgb_iter1,0.001,0.000,7.2,29.6
tfidf_logreg_notes_iter1,0.000,0.000,12.9,29.6
tabular_rf_xgb_iter1,0.001,0.000,7.2,29.6
tfidf_logreg_notes_iter1,0.000,0.000,14.9,29.6
tabular_rf_xgb_iter1,0.002,0.000,9.1,29.6
tfidf_logreg_notes_iter1,0.000,0.000,12.9,29.6
tabular_rf_xgb_iter1,0.001,0.000,7.1,29.6
lstm_binary_iter1,0.009,0.009,5.1,29.6
tfidf_logreg_notes_iter1,0.000,0.000,13.1,29.6
tabular_rf_xgb_iter1,0.001,0.000,7.6,29.6
gru_binary_iter1,0.004,0.004,8.3,29.6
tfidf_logreg_notes_iter1,0.000,0.000,15.2,29.6
tabular_rf_xgb_iter1,0.002,0.000,11.2,29.6
gru_binary_iter1,0.004,0.004,16.9,29.6
lstm_binary_iter1,0.006,0.006,14.7,29.6
transformer_iter1,0.006,0.006,14.4,29.6
tfidf_logreg_notes_iter1,0.000,0.000,12.5,29.6
tabular_rf_xgb_iter1,0.001,0.000,6.9,29.6
gru_binary_iter1,0.004,0.004,16.4,29.6
lstm_binary_iter1,0.006,0.006,14.4,29.6
transformer_iter1,0.009,0.009,11.9,29.6
tfidf_logreg_notes_iter1,0.000,0.000,13.1,29.6
tabular_rf_xgb_iter1,0.001,0.000,7.2,29.6
gru_binary_iter1,0.004,0.004,16.4,29.6
transformer_iter1,0.005,0.005,14.8,29.6
lstm_binary_iter1,0.007,0.007,13.4,29.6
clinicalbert_transformer,0.014,0.014,8.1,29.6
tfidf_logreg_notes_iter1,0.000,0.000,17.5,29.6
tabular_rf_xgb_iter1,0.001,0.000,8.8,29.6
gru_binary_iter1,0.004,0.004,16.2,29.6
transformer_iter1,0.005,0.005,14.7,29.6
lstm_binary_iter1,0.006,0.006,14.7,29.6
clinicalbert_transformer,0.014,0.014,8.0,29.6
tfidf_logreg_notes_iter1,0.000,0.000,10.0,29.5
tabular_rf_xgb_iter1,0.001,0.000,6.7,29.5
gru_binary_iter1,0.004,0.004,14.8,29.5
transformer_iter1,0.005,0.005,13.8,29.5
lstm_binary_iter1,0.006,0.006,13.6,29.5
clinicalbert_transformer,0.011,0.011,7.9,29.5
stacker_binary_iter1,0.000,0.000,32.9,29.5
tfidf_logreg_notes_iter1,0.000,0.000,12.0,29.5
tabular_rf_xgb_iter1,0.001,0.000,6.8,29.5
gru_binary_iter1,0.004,0.004,16.7,29.5
lstm_binary_iter1,0.006,0.006,14.5,29.5
transformer_iter1,0.010,0.010,10.5,29.5
clinicalbert_transformer,0.012,0.012,7.9,29.5
stacker_binary_iter1,0.001,0.000,33.3,29.5
tfidf_logreg_notes_iter1,0.000,0.000,12.5,29.5
tabular_rf_xgb_iter1,0.001,0.000,6.8,29.5
gru_binary_iter1,0.004,0.004,16.2,29.5
transformer_iter1,0.005,0.005,14.6,29.5
lstm_binary_iter1,0.006,0.006,13.7,29.5
clinicalbert_transformer,0.013,0.013,8.1,29.5
stacker_binary_iter1,0.000,0.000,34.8,29.5
tfidf_logreg_notes_iter1,0.000,0.000,13.1,29.5
tabular_rf_xgb_iter1,0.001,0.000,7.3,29.5
gru_binary_iter1,0.004,0.004,15.9,29.5
transformer_iter1,0.005,0.005,14.4,29.5
lstm_binary_iter1,0.006,0.006,14.1,29.5
clinicalbert_transformer,0.012,0.012,7.9,29.5
stacker_binary_iter1,0.000,0.000,36.2,29.5
tfidf_logreg_notes_iter1,0.000,0.000,7.6,29.4
tabular_rf_xgb_iter1,0.001,0.000,6.6,29.4
gru_binary_iter1,0.004,0.004,13.6,29.4
lstm_binary_iter1,0.006,0.006,12.2,29.4
transformer_iter1,0.010,0.010,9.5,29.4
clinicalbert_transformer,0.013,0.013,5.8,29.4
stacker_binary_iter1,0.001,0.000,36.7,29.4
tfidf_logreg_notes_iter1,0.000,0.000,11.4,31.1
tabular_rf_xgb_iter1,0.002,0.000,6.9,31.1
gru_binary_iter1,0.003,0.003,17.4,31.1
lstm_binary_iter1,0.005,0.005,14.6,31.1
transformer_iter1,0.009,0.009,14.5,31.1
clinicalbert_transformer,0.014,0.014,8.1,31.1
stacker_binary_iter1,0.000,0.000,40.8,31.1
tfidf_logreg_notes_iter2,0.000,0.000,12.4,31.1
tabular_rf_xgb_iter2,0.001,0.000,6.8,31.1
gru_binary_iter2,0.004,0.004,16.8,31.1
lstm_binary_iter2,0.005,0.005,16.8,31.1
transformer_iter2,0.007,0.007,13.2,31.1
tfidf_logreg_notes_iter3,0.000,0.000,11.4,31.1
tabular_rf_xgb_iter3,0.001,0.000,7.0,31.1
lstm_binary_iter3,0.004,0.004,16.8,31.1
gru_binary_iter3,0.006,0.006,15.9,31.1
transformer_iter3,0.008,0.008,12.9,31.1
tfidf_logreg_notes_iter4,0.000,0.000,18.4,31.1
tabular_rf_xgb_iter4,0.002,0.000,16.1,31.1
gru_binary_iter4,0.004,0.004,20.8,31.1
lstm_binary_iter4,0.007,0.007,16.2,31.1
transformer_iter4,0.009,0.009,14.9,31.1
