tag,elapsed_hr,gpu_hrs,cpu_pct,disk_used_gb
tfidf_logreg_notes_iter1,0.000,0.000,24.5,23.3
tabular_rf_xgb_iter1,0.001,0.000,14.4,23.3
gru_binary_iter1,0.003,0.003,25.9,23.3
lstm_binary_iter1,0.005,0.005,24.1,23.3
tfidf_logreg_notes_iter1,0.000,0.000,8.6,23.3
transformer_iter1,0.003,0.003,9.5,23.3
tfidf_logreg_notes_iter1,0.000,0.000,8.6,23.3
transformer_iter1,0.003,0.003,10.0,23.3
transformer_iter1,0.003,0.003,10.8,23.3
transformer_iter1,0.006,0.006,9.5,23.3
tfidf_logreg_notes_iter1,0.000,0.000,8.6,23.3
transformer_iter1,0.005,0.005,9.6,23.3
tfidf_logreg_notes_iter1,0.000,0.000,8.7,23.3
tfidf_logreg_notes_iter1,0.000,0.000,8.6,24.2
tfidf_logreg_notes_iter1,0.000,0.000,8.3,30.5
tfidf_logreg_notes_iter1,0.000,0.000,8.7,30.5
tfidf_logreg_notes_iter1,0.000,0.000,4.2,29.0
clinicalbert_transformer,0.013,0.013,7.8,29.0
tfidf_logreg_notes_iter1,0.000,0.000,13.1,29.0
tabular_rf_xgb_iter1,0.001,0.000,7.2,29.0
gru_binary_iter1,0.004,0.004,16.5,29.0
lstm_binary_iter1,0.006,0.006,14.3,29.0
transformer_iter1,0.009,0.009,11.7,29.0
clinicalbert_transformer,0.013,0.013,8.6,29.0
tabular_rf_xgb_iter1,0.002,0.002,6.4,29.0
stacker_binary_iter1,0.000,0.000,35.3,29.0
tfidf_logreg_notes_iter1,0.000,0.000,12.0,29.0
tabular_rf_xgb_iter1,0.001,0.000,7.3,29.0
gru_binary_iter1,0.004,0.004,16.2,29.0
lstm_binary_iter1,0.006,0.006,14.8,29.0
transformer_iter1,0.012,0.012,9.7,29.0
clinicalbert_transformer,0.014,0.014,8.2,29.0
stacker_binary_iter1,0.001,0.000,37.1,29.0
tfidf_logreg_notes_iter1,0.000,0.000,12.3,29.0
tabular_rf_xgb_iter1,0.001,0.000,7.1,29.0
lstm_binary_iter1,0.005,0.005,16.9,29.0
gru_binary_iter1,0.006,0.006,16.3,29.0
transformer_iter1,0.006,0.006,16.0,29.0
clinicalbert_transformer,0.014,0.014,8.2,29.0
stacker_binary_iter1,0.000,0.000,41.9,29.0
tfidf_logreg_notes_iter2,0.000,0.000,13.3,29.0
tabular_rf_xgb_iter2,0.001,0.000,7.3,29.0
gru_binary_iter2,0.004,0.004,17.5,29.0
lstm_binary_iter2,0.005,0.005,16.9,29.0
transformer_iter2,0.011,0.011,11.1,29.0
clinicalbert_transformer,0.013,0.013,8.5,29.0
stacker_binary_iter2,0.000,0.000,36.4,29.0
tfidf_logreg_notes_iter3,0.000,0.000,13.4,29.0
tabular_rf_xgb_iter3,0.001,0.000,7.2,29.0
lstm_binary_iter3,0.005,0.005,17.3,29.0
gru_binary_iter3,0.006,0.006,17.4,29.0
transformer_iter3,0.009,0.009,14.7,29.0
clinicalbert_transformer,0.013,0.013,8.2,29.0
stacker_binary_iter3,0.000,0.000,38.0,29.0
tfidf_logreg_notes_iter4,0.000,0.000,11.9,29.0
tabular_rf_xgb_iter4,0.001,0.000,7.2,29.0
gru_binary_iter4,0.003,0.003,18.0,29.0
transformer_iter4,0.009,0.009,13.5,29.0
lstm_binary_iter4,0.009,0.009,13.4,29.0
clinicalbert_transformer,0.014,0.014,7.9,29.0
stacker_binary_iter4,0.000,0.000,39.7,29.0
tfidf_logreg_notes_iter5,0.000,0.000,11.7,29.0
tabular_rf_xgb_iter5,0.001,0.000,6.7,29.0
transformer_iter5,0.005,0.005,17.3,29.0
gru_binary_iter5,0.006,0.006,17.0,29.0
lstm_binary_iter5,0.007,0.007,16.8,29.0
clinicalbert_transformer,0.013,0.013,8.3,29.0
stacker_binary_iter5,0.001,0.000,35.5,29.0
tfidf_logreg_notes_iter6,0.000,0.000,12.5,29.0
tabular_rf_xgb_iter6,0.001,0.000,7.0,29.0
gru_binary_iter6,0.004,0.004,17.7,29.0
lstm_binary_iter6,0.006,0.006,16.6,29.0
transformer_iter6,0.007,0.007,14.1,29.0
clinicalbert_transformer,0.013,0.013,8.2,29.0
stacker_binary_iter6,0.000,0.000,38.7,29.0
tfidf_logreg_notes_iter7,0.000,0.000,14.4,29.2
tabular_rf_xgb_iter7,0.001,0.000,8.6,29.2
lstm_binary_iter7,0.007,0.007,22.1,29.2
gru_binary_iter7,0.007,0.007,21.9,29.2
transformer_iter7,0.018,0.018,13.3,29.2
clinicalbert_transformer,0.014,0.014,8.4,29.2
stacker_binary_iter7,0.000,0.000,41.3,29.2
tfidf_logreg_notes_iter8,0.000,0.000,12.2,29.2
tabular_rf_xgb_iter8,0.001,0.000,7.5,29.2
lstm_binary_iter8,0.006,0.006,17.0,29.2
gru_binary_iter8,0.007,0.007,17.0,29.2
transformer_iter8,0.011,0.011,12.6,29.2
clinicalbert_transformer,0.013,0.013,8.3,29.2
stacker_binary_iter8,0.000,0.000,45.6,29.2
