tag,elapsed_hr,gpu_hrs,cpu_pct,disk_used_gb
tfidf_logreg_notes_iter1,0.001,0.000,2.0,47.8
tfidf_logreg_notes_iter1,0.001,0.000,1.8,47.8
tabular_rf_xgb_iter1,0.008,0.000,45.7,47.8
tfidf_logreg_notes_iter1,0.001,0.000,33.2,47.8
tabular_rf_xgb_iter1,0.008,0.000,45.8,48.2
tfidf_logreg_notes_iter1,0.001,0.000,32.4,48.2
tfidf_logreg_notes_iter1,0.001,0.000,2.0,48.2
lstm_binary_iter1,0.014,0.000,89.3,48.2
lstm_binary_iter1,0.018,0.000,91.0,48.2
gru_binary_iter1,0.252,0.000,54.9,48.2
gru_binary_iter1,0.038,0.000,53.4,48.2
gru_binary_iter1,0.014,0.000,53.2,48.2
gru_binary_iter1,0.013,0.000,51.5,48.2
gru_binary_iter1,0.013,0.000,52.6,48.2
gru_binary_iter1,0.065,0.000,55.7,48.2
gru_binary_iter1,0.064,0.000,54.7,48.2
transformer_iter1,0.079,0.000,87.4,48.2
transformer_iter1,0.048,0.000,87.2,48.2
tfidf_logreg_notes_iter1,0.001,0.000,1.8,48.2
lstm_binary_iter1,0.018,0.000,90.9,48.2
tfidf_logreg_notes_iter1,0.001,0.000,1.8,49.8
lstm_binary_iter1,0.010,0.000,89.0,49.8
clinicalbert_transformer,0.002,0.000,61.5,49.8
tabular_rf_xgb_iter1,0.002,0.000,12.3,49.8
tfidf_logreg_notes_iter1,0.001,0.000,6.1,49.8
tabular_rf_xgb_iter1,0.008,0.000,72.7,49.8
tfidf_logreg_notes_iter1,0.001,0.000,51.6,49.8
gru_binary_iter1,0.274,0.000,99.5,49.8
lstm_binary_iter1,0.305,0.000,99.6,49.8
transformer_iter1,0.318,0.000,99.4,49.8
clinicalbert_transformer,0.001,0.000,41.1,49.8
tabular_rf_xgb_iter1,0.008,0.000,45.8,49.8
tfidf_logreg_notes_iter1,0.001,0.000,35.1,49.8
gru_binary_iter1,0.273,0.000,99.6,49.8
lstm_binary_iter1,0.306,0.000,99.6,49.8
transformer_iter1,0.319,0.000,99.4,49.8
clinicalbert_transformer,0.001,0.000,43.5,49.8
tabular_rf_xgb_iter1,0.008,0.000,45.4,49.8
tfidf_logreg_notes_iter1,0.001,0.000,29.6,49.8
gru_binary_iter1,0.273,0.000,99.6,49.8
lstm_binary_iter1,0.304,0.000,99.6,49.8
transformer_iter1,0.317,0.000,99.4,49.8
clinicalbert_transformer,0.001,0.000,47.0,49.8
stacker_multiclass_iter1,0.001,0.000,19.1,49.8
tabular_rf_xgb_iter1,0.005,0.000,31.2,49.8
tfidf_logreg_notes_iter1,0.001,0.000,17.1,49.8
tabular_rf_xgb_iter1,0.003,0.000,19.7,49.4
tfidf_logreg_notes_iter1,0.001,0.000,11.4,49.4
gru_binary_iter1,0.008,0.008,16.2,49.4
lstm_binary_iter1,0.009,0.009,15.6,49.4
transformer_iter1,0.013,0.013,12.9,49.4
clinicalbert_transformer,0.000,0.000,7.4,49.4
stacker_binary_iter1,0.000,0.000,22.2,49.4
tabular_rf_xgb_iter1,0.006,0.000,39.0,49.4
tfidf_logreg_notes_iter1,0.001,0.000,28.0,49.4
gru_binary_iter1,0.004,0.004,16.2,49.4
lstm_binary_iter1,0.007,0.007,13.8,49.4
transformer_iter1,0.008,0.008,12.6,49.4
clinicalbert_transformer,0.000,0.000,7.7,49.4
stacker_binary_iter1,0.000,0.000,22.1,49.4
tabular_rf_xgb_iter2,0.005,0.000,34.6,49.4
tfidf_logreg_notes_iter2,0.001,0.000,19.8,49.4
gru_binary_iter2,0.006,0.006,16.9,49.4
lstm_binary_iter2,0.007,0.007,15.9,49.4
transformer_iter2,0.013,0.013,11.4,49.4
clinicalbert_transformer,0.001,0.001,8.6,49.4
stacker_binary_iter2,0.001,0.000,24.8,49.4
tabular_rf_xgb_iter3,0.006,0.000,38.9,49.4
tfidf_logreg_notes_iter3,0.001,0.000,22.2,49.4
lstm_binary_iter3,0.005,0.005,17.0,49.4
transformer_iter3,0.007,0.007,16.6,49.4
gru_binary_iter3,0.007,0.007,16.5,49.4
clinicalbert_transformer,0.001,0.001,8.3,49.4
stacker_binary_iter3,0.000,0.000,23.7,49.4
tabular_rf_xgb_iter4,0.005,0.000,33.3,49.4
tfidf_logreg_notes_iter4,0.001,0.000,19.8,49.4
lstm_binary_iter4,0.004,0.004,17.1,49.4
transformer_iter4,0.007,0.007,16.1,49.4
gru_binary_iter4,0.008,0.008,15.5,49.4
clinicalbert_transformer,0.000,0.000,8.0,49.4
stacker_binary_iter4,0.000,0.000,24.1,49.4
tabular_rf_xgb_iter5,0.003,0.000,22.0,49.4
tfidf_logreg_notes_iter5,0.001,0.000,13.2,49.4
gru_binary_iter5,0.004,0.004,17.3,49.4
transformer_iter5,0.007,0.007,13.9,49.4
lstm_binary_iter5,0.011,0.011,11.6,49.4
clinicalbert_transformer,0.000,0.000,7.8,49.4
stacker_binary_iter5,0.000,0.000,24.2,49.4
tabular_rf_xgb_iter6,0.008,0.000,47.5,49.4
tfidf_logreg_notes_iter6,0.001,0.000,34.0,49.4
gru_binary_iter6,0.003,0.003,16.4,49.4
lstm_binary_iter6,0.005,0.005,14.2,49.4
transformer_iter6,0.010,0.010,9.9,49.4
clinicalbert_transformer,0.000,0.000,7.0,49.4
stacker_binary_iter6,0.000,0.000,25.6,49.4
